Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
register,14289,4214,3093,11210,13773,22538,56,40818,"0,000%","37,22538","6,07","18,17"
Login,13917,4324,3312,11291,13651,21685,52,43173,"0,000%","36,45465","13,35","12,74"
Get,13443,2392,40,9162,12631,17702,0,25727,"0,000%","36,03761","10,97","18,55"
Search,13382,2383,297,8010,13923,19475,2,37069,"0,000%","35,89246","2877,20","17,39"
Добавить друга,13272,5077,3430,12644,17643,26135,0,39624,"5,591%","35,33989","3,85","19,29"
Получение ленты,12809,4392,3317,11283,14325,21696,0,36665,"0,000%","34,29047","3,68","18,25"
Получение ленты из Редис,12375,4147,3334,10802,13129,21127,0,43793,"0,000%","33,30785","3,58","17,73"
Отправка сообщения,12032,4043,3105,10881,13492,22368,0,52116,"5,751%","32,56266","2,59","20,06"
Получение списка сообщений,11728,4541,3429,11421,14929,21780,0,35708,"0,000%","31,91110","3,43","17,58"
TOTAL,117247,3934,2571,11086,14090,21754,0,52116,"1,223%","305,44845","2841,23","155,69"
